Date,Day of week,Title,Author,Text of poem,Bottom line,questions
1,M,Of Many Worlds in This World,Margaret Cavendish (1623-1673),"Just like as in a nest of boxes round,
Degrees of sizes in each box are found:
So, in this world, may many others be
Thinner and less, and less still by degree:
Although they are not subject to our sense,
A world may be no bigger than two-pence.
Nature is curious, and such works may shape,
Which our dull senses easily escape:
For creatures, small as atoms, may there be,
If every one a creature’s figure bear.
If atoms four, a world can make, then see
What several worlds might in an ear-ring be:
For, millions of those atoms may be in
The head of one small, little, single pin.
And if thus small, then ladies may well wear
A world of worlds, as pendents in each ear.",,
2,T,Decay,"Arista Rawat Engineer, '19","sugars break down
into formless sludge
sharp and stinging

too-sweet smell of over ripe bananas
dark bruised skin molding to melting flesh
usurp the senses

odious fruit’s ominous end

dreaded doppelganger snapshot of the future
we are what surrounds us

I check my body for spots.",,
3,W,Yourself the Sun,Arthur Gorges (1569-1625),"Yourself the sun, and I the melting frost,
    Myself the flax and you the kindly fire,
Yourself the maze wherein my self is lost,
    I your disdain, yet you my heart’s desire,
Your love the port whereto my fancies sail,
    My hope the ship whose helm your fair hand guides,
Your grace the wind that must my course avail
    My faith the flood, your frowns the ebbing tides,
Yourself the spring and I the toiling bee.
    My thoughts in you, though yours elsewhere, do rest.
You are the brook and I the deer embossed
My heaven is you, yet you torment my ghost.",,
4,Th,San Ramon,"Riley Danger Brawn, '22","That summer in San Ramon, colors of yellow and green were at every corner:
avocados, mangos, chipping paint, rolling jungle hills, butterflies.
I walked past whistles and went deep into the neighborhood to the bakery with flies. I went out onto dirt roads with Juancito, placing skinned knees and elbows where they belonged. Fear took control of my bones, where people spoke in tongues at me in the dark. I always wished I had known the language. They brought me nutella and eggs, rabbits and dogs, coconuts and white pineapple. They washed my clothes and set my bed. They took me to the coffee plantation where I got bees stuck in my curls. My host mama, hermano, hermana, abuelo, abuela, tia, tio, y perro.
My days started with black coffee and Juancito’s cheeky smile. He joined us to eat jello from a bag, drink juice from a bucket, and eat rice from a pot. Juan walked me from the house to the hut of planting hope, as if he were older than me. He gave me his jacket often, though two sizes too small.
We lay on the roof of the crumbling building on a towel, looking at the sky’s unpolluted stars.
Bug spray in the air. “Te voy a extranar,” he cried.",,
5,F,A Drinking Song,W. B. Yeats (1865-1939),"Wine comes in at the mouth   
And love comes in at the eye;   
That’s all we shall know for truth   
Before we grow old and die.   
I lift the glass to my mouth,
I look at you, and I sigh.

Selected by Amanda Tugangui, '19","Selected by Amanda Tugangui, '19",
6,S,Aspiration,Henrietta Cordelia Ray (1849-1917),"We climb the slopes of life with throbbing heart,
And eager pulse, like children toward a star.
Sweet siren music cometh from afar,
To lure us on meanwhile. Responsive start
The nightingales to richer song than Art
Can ever teach. No passing shadows mar
Awhile the dewy skies; no inner jar
Of conflict bids us with our quest to part.
We see adown the distance, rainbow-arched,
What melting aisles of liquid light and bloom!
We hasten, tremulous, with lips all parched,
And eyes wide-stretched, nor dream of coming gloom.
Enough that something held almost divine
Within us ever stirs. Can we repine?",,
7,Su,Untitled,"Catherine Pendleton-Wheeler, '22","I desperately wanted to spend time with you today
And it just didn’t happen
You looked too good in a shirt I hadn’t seen before.
One I knew you probably had something to say about. 
A story to tell
But there wasn’t a moment for you to volunteer it to me, 
And me to smile quietly because I do actually want to listen.

There isn’t time for me to be me with you being you
I put on clothes this morning with you in mind
Concocting an outfit you just might notice.

Instead I glimpsed you in passing, forgot to take a moment and ask
How are you?
Because you feel so steady and I
So wobble, and can’t breathe and need your shoulder to hold me up.
You
So beautifully you in that shirt and your curls.

Tonight I left you and couldn’t shake the feeling of your fingers on my cheek
How I’d kissed you and almost hit your head with my hat
I couldn’t smile at you because I’d already started walking away.
Here I am writing in this moment that has already become tomorrow
The day is gone
No chance to be us 
On a Thursday in February.",,
8,M,The Bibliomanic's Prayer,Eugene Field (1850-1895),"Keep me, I pray, in wisdom’s way
  That I may truths eternal seek;
I need protecting care to-day,—
  My purse is light, my flesh is weak.
So banish from my erring heart
  All baleful appetites and hints
Of Satan’s fascinating art,
  Of first editions, and of prints.
Direct me in some godly walk
  Which leads away from bookish strife,
That I with pious deed and talk
  May extra-illustrate my life.

But if, O Lord, it pleaseth Thee
  To keep me in temptation’s way,
I humbly ask that I may be
  Most notably beset to-day;
Let my temptation be a book,
  Which I shall purchase, hold, and keep,
Whereon when other men shall look,
  They’ll wail to know I got it cheap.
Oh, let it such a volume be
  As in rare copperplates abounds,
Large paper, clean, and fair to see,
  Uncut, unique, unknown to Lowndes.

Happy National Library Week, April 7-13!","Happy National Library Week, April 7-13!",
9,T,"7:54 and the sunset swoops in,",,"covering the sky in gauzy pinks and oranges.
close up the windows, 
lock up the barn,
the night is nibbling at the cotton candy sky.

By Astrid Armstrong, '20","By Astrid Armstrong, '20",break after title?
10,W,Smell!,William Carlos William (1883-1963),"Oh strong-ridged and deeply hollowed
nose of mine! what will you not be smelling?
What tactless asses we are, you and I, boney nose,
always indiscriminate, always unashamed,
and now it is the souring flowers of the bedraggled
poplars: a festering pulp on the wet earth
beneath them. With what deep thirst
we quicken our desires
to that rank odor of a passing springtime!
Can you not be decent? Can you not reserve your ardors
for something less unlovely? What girl will care
for us, do you think, if we continue in these ways?
Must you taste everything? Must you know everything?
Must you have a part in everything?",,
